customerID,gender,SeniorCitizen,tenure_months,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,SupportTickets,Churn
C101577,Female,1,25,One year,DSL,Mailed check,61.16,1534.55,2,No
C100140,Female,0,23,Month-to-month,DSL,Electronic check,57.49,1321.58,0,No
C100110,Male,0,63,Month-to-month,DSL,Electronic check,70.93,4477.41,1,No
C100259,Female,1,68,Month-to-month,DSL,Mailed check,66.19,4512.01,2,No
C101391,Female,0,30,Month-to-month,DSL,Mailed check,42.28,1253.37,1,No
C101744,Male,0,11,One year,Fiber optic,Mailed check,,1010.64,0,No
C100514,Female,1,59,Month-to-month,DSL,Bank transfer,68.62,4070.78,0,Yes
C101517,Male,0,67,Month-to-month,Fiber optic,Mailed check,98.46,6574.92,0,No
C101386,Female,1,57,Month-to-month,Fiber optic,Bank transfer,76.53,4347.99,2,Yes
C101058,Male,0,70,One year,Fiber optic,Bank transfer,72.8,5087.04,0,No
C101921,Female,0,23,Month-to-month,Fiber optic,Electronic check,68.25,1590.13,2,Yes
C101736,Female,0,12,One year,Fiber optic,Mailed check,78.14,958.34,0,No
C100471,Female,0,9,Month-to-month,Fiber optic,Electronic check,78.45,703.73,2,No
C101273,Female,1,60,Two year,DSL,Mailed check,41.7,2474.22,0,No
C101926,Male,0,72,Two year,DSL,Mailed check,47.17,3380.91,0,No
C101544,Male,0,29,One year,Fiber optic,Bank transfer,91.21,2636.07,2,No
C101089,Male,0,24,Month-to-month,DSL,Mailed check,60.66,1454.7,4,Yes
C101354,Male,0,67,Two year,Fiber optic,Electronic check,66.09,4417.93,0,No
C100358,Male,0,2,Month-to-month,Fiber optic,Mailed check,80.46,167.84,3,Yes
C101327,Male,0,49,Two year,Fiber optic,Credit card,92.62,4554.46,4,No
C100196,Male,0,45,Month-to-month,Fiber optic,Mailed check,76.27,3423.75,3,Yes
C101682,Male,0,62,Month-to-month,Fiber optic,Mailed check,59.88,3690.68,1,Yes
C101691,Female,0,37,Month-to-month,Fiber optic,Bank transfer,79.12,2927.0,1,No
C100610,Female,0,24,Two year,Fiber optic,Credit card,80.5,1970.77,3,No
C100361,Female,0,68,Month-to-month,Fiber optic,Mailed check,79.9,5427.25,1,No
C100002,Female,0,46,Two year,Fiber optic,Electronic check,91.77,4226.28,0,No
C100666,Female,1,5,Two year,No,Bank transfer,45.88,218.79,2,No
C100527,male,0,34,One year,DSL,Credit card,45.85,1574.72,4,Yes
C101117,Female,0,45,One year,Fiber optic,Mailed check,71.02,3182.56,2,No
C100702,Male,0,38,Month-to-month,No,Mailed check,52.97,1950.8,1,Yes
C100602,Female,0,34,Two year,DSL,Electronic check,73.43,2511.54,0,No
C100658,Male,0,42,One year,Fiber optic,Credit card,57.0,2397.76,0,No
C101917,Male,1,7,One year,DSL,Electronic check,67.54,460.09,2,Yes
C101824,Female,1,59,Month-to-month,No,Mailed check,15.0,883.14,0,No
C100762,Female,0,10,Two year,No,Electronic check,20.37,220.54,1,No
C100374,Female,1,10,One year,DSL,Bank transfer,60.19,631.49,0,No
C101959,Male,1,47,Month-to-month,No,Bank transfer,15.0,693.71,4,No
C100672,female,0,24,Month-to-month,Fiber optic,Mailed check,69.56,1693.67,0,No
C101037,Male,0,39,Month-to-month,Fiber optic,Bank transfer,92.58,3626.95,1,Yes
C100945,Male,1,40,Two year,Fiber optic,Mailed check,69.33,2763.6,0,No
C100544,Female,0,12,Month-to-month,DSL,Mailed check,48.98,574.01,3,Yes
C101696,Male,0,37,Month-to-month,DSL,Credit card,60.84,2212.15,3,Yes
C101669,Female,0,21,Two year,Fiber optic,Mailed check,79.9,1707.22,2,No
C100606,Male,1,63,Two year,No,Bank transfer,23.01,1433.82,2,No
C100501,Female,1,70,Month-to-month,DSL,Mailed check,49.4,3449.89,1,No
C101495,Male,0,63,Month-to-month,Fiber optic,Credit card,64.28,4054.08,0,No
C101817,Male,0,39,Month-to-month,Fiber optic,Mailed check,105.62,4138.04,1,Yes
C101244,Female,0,53,Month-to-month,Fiber optic,Electronic check,90.97,4817.63,1,Yes
C100241,Female,0,11,Two year,DSL,Mailed check,57.11,630.87,0,Yes
C100876,Female,0,32,Month-to-month,DSL,Mailed check,53.85,1741.14,1,Yes
C101374,Female,0,27,One year,Fiber optic,Credit card,97.75,2652.5,1,Yes
C100694,Male,0,10,Month-to-month,Fiber optic,Bank transfer,88.89,883.89,1,Yes
C100284,Male,1,34,Two year,No,Mailed check,15.0,498.95,1,No
C100412,Male,1,6,One year,Fiber optic,Bank transfer,86.33,532.74,1,Yes
C101304,Female,0,66,Month-to-month,Fiber optic,Credit card,41.56,2750.12,0,No
C101411,Female,1,11,One year,Fiber optic,Mailed check,84.96,900.02,1,Yes
C101981,female,0,71,Month-to-month,No,Credit card,19.72,1394.37,0,No
C101841,Male,0,15,Month-to-month,DSL,Mailed check,58.98,873.15,1,No
C101442,female,0,41,Two year,Fiber optic,Mailed check,87.53,3565.53,0,No
C100339,Female,0,44,Two year,Fiber optic,Mailed check,52.77,2305.51,1,No
C100363,Female,0,18,Two year,DSL,Credit card,58.23,1044.68,1,Yes
C100903,Female,0,40,Two year,DSL,Electronic check,58.39,2325.73,1,No
C101011,Female,0,41,Month-to-month,No,Mailed check,25.2,1049.57,0,No
C101678,Female,0,31,One year,No,Bank transfer,17.42,531.81,3,No
C100735,Female,0,47,One year,No,Credit card,22.6,1044.31,2,No
C100386,Male,0,35,Month-to-month,DSL,Bank transfer,42.74,1468.68,1,Yes
C101508,Female,0,46,One year,Fiber optic,Mailed check,82.78,3820.7,0,No
C101149,Female,0,23,Month-to-month,Fiber optic,Credit card,44.85,1040.12,0,No
C100837,Male,0,4,Month-to-month,Fiber optic,Mailed check,81.51,351.79,0,Yes
C101663,Female,0,45,Month-to-month,No,Bank transfer,51.31,2327.96,1,Yes
C100638,Female,0,57,Month-to-month,Fiber optic,Credit card,66.44,3811.73,3,Yes
C101170,Female,0,65,One year,Fiber optic,Bank transfer,70.68,4571.98,1,No
C101637,Female,0,50,One year,No,Credit card,26.85,1347.84,2,No
C101445,Male,0,62,Month-to-month,Fiber optic,Bank transfer,60.67,3741.82,1,No
C101279,Female,0,39,One year,Fiber optic,Electronic check,84.74,3327.19,0,No
C100299,Male,0,13,One year,No,Electronic check,35.94,463.91,1,No
C100976,Male,0,57,Month-to-month,No,Mailed check,29.41,1655.4,2,No
C101858,Female,0,6,One year,No,Bank transfer,44.55,270.21,2,Yes
C100108,male,1,44,Two year,Fiber optic,Credit card,68.44,3035.2,1,Yes
C101471,Female,1,71,Month-to-month,No,Mailed check,30.75,2164.14,1,No
C101582,Female,0,50,Month-to-month,DSL,Electronic check,53.57,2654.31,0,No
C100517,Male,1,41,Month-to-month,Fiber optic,Credit card,75.43,3063.75,2,Yes
C101016,Male,0,44,Month-to-month,Fiber optic,Electronic check,97.52,4281.03,2,Yes
C101015,Female,0,59,Month-to-month,No,Electronic check,39.45,2352.39,0,No
C101183,Male,0,23,One year,Fiber optic,Electronic check,91.37,2131.93,0,No
C101229,Male,0,43,Month-to-month,No,Electronic check,34.51,1453.76,0,Yes
C101972,Female,0,31,Month-to-month,Fiber optic,Bank transfer,88.13,2721.14,0,No
C101531,Male,0,57,Two year,DSL,Mailed check,64.13,3641.37,0,No
C101605,Female,0,22,One year,No,Electronic check,19.61,466.78,1,Yes
C101465,Male,0,41,Two year,DSL,Mailed check,78.04,3168.89,2,No
C101497,Female,0,22,Month-to-month,Fiber optic,Credit card,91.69,2057.63,1,Yes
C101330,Male,0,18,One year,DSL,Mailed check,59.71,1077.3,2,No
C100330,Female,0,4,Month-to-month,Fiber optic,Mailed check,72.33,260.88,3,Yes
C101431,Male,0,60,Month-to-month,Fiber optic,Electronic check,63.22,3824.47,1,No
C100229,Male,0,32,Month-to-month,Fiber optic,Electronic check,100.26,3217.85,0,Yes
C100172,Female,0,67,Two year,Fiber optic,Credit card,88.73,5903.8,2,No
C100450,Female,0,57,Two year,DSL,Mailed check,,4218.05,2,No
C101524,female,1,29,Month-to-month,DSL,Credit card,35.73,1071.21,4,Yes
C100127,Female,0,64,Month-to-month,DSL,Credit card,36.42,2309.73,0,No
C101064,Female,0,1,Two year,Fiber optic,Credit card,83.87,104.75,0,No
C100037,Female,0,23,Two year,DSL,Mailed check,44.57,974.38,0,No
C100426,Female,0,71,Month-to-month,DSL,Credit card,60.78,4329.25,3,No
C100204,Male,0,3,One year,DSL,Mailed check,20.67,70.21,0,No
C101249,Female,0,48,Two year,Fiber optic,Mailed check,85.4,4101.39,2,No
C100185,Male,0,62,Two year,Fiber optic,Mailed check,90.65,5605.17,2,No
C101268,Female,0,34,Two year,No,Mailed check,19.14,645.33,1,No
C100058,Female,0,46,Month-to-month,No,Credit card,32.38,1510.79,0,No
C101506,Female,1,11,Month-to-month,No,Electronic check,19.95,253.17,0,No
C100862,Male,1,13,Month-to-month,DSL,Electronic check,73.62,953.56,2,Yes
C101876,Male,0,29,One year,Fiber optic,Bank transfer,67.83,1951.28,3,No
C101332,Male,0,24,Month-to-month,Fiber optic,Mailed check,73.2,1790.38,0,Yes
C101164,Female,1,45,One year,No,Mailed check,21.05,955.33,1,No
C101315,Male,0,30,Month-to-month,DSL,Mailed check,38.32,1102.55,0,No
C101414,Female,0,17,One year,Fiber optic,Bank transfer,81.55,1405.34,0,No
C100611,Male,0,3,Month-to-month,DSL,Electronic check,52.85,142.72,1,Yes
C100034,Female,0,18,Month-to-month,No,Electronic check,15.0,287.16,1,No
C100830,Male,0,45,One year,Fiber optic,Mailed check,54.65,2472.12,2,No
C101826,Male,0,20,One year,Fiber optic,Bank transfer,75.18,1519.18,2,Yes
C100360,Female,0,45,Month-to-month,DSL,Credit card,65.78,2966.61,2,Yes
C101049,Male,0,36,Two year,DSL,Electronic check,58.73,2123.52,4,No
C101648,Female,0,40,Month-to-month,DSL,Credit card,65.36,2623.0,1,No
C101899,Male,0,21,Month-to-month,DSL,Electronic check,47.49,1035.55,1,Yes
C100595,Female,0,36,Two year,DSL,Mailed check,74.52,2690.15,1,No
C101278,Male,1,36,Month-to-month,Fiber optic,Electronic check,74.09,2661.83,2,Yes
C100590,Female,0,0,Month-to-month,DSL,Credit card,56.12, ,2,Yes
C100653,Female,0,29,Month-to-month,Fiber optic,Bank transfer,97.36,2790.41,1,No
C100915,Male,0,65,Two year,No,Credit card,15.0,941.59,0,No
C100769,Male,0,14,One year,Fiber optic,Electronic check,49.94,714.57,1,No
